Length,2nd (2.3rd),5th,10th,25th,50th,75th,90th,95th,98th (97.7th)
45.00,2.0665,2.1298,2.1973,2.3169,2.4607,2.6171,2.7699,2.8673,2.9671
45.50,2.1377,2.2032,2.2731,2.3969,2.5457,2.7076,2.8657,2.9665,3.0698
46.00,2.2088,2.2765,2.3488,2.4768,2.6306,2.7980,2.9614,3.0657,3.1725
46.50,2.2800,2.3499,2.4245,2.5567,2.7155,2.8883,3.0571,3.1648,3.2751
47.00,2.3513,2.4235,2.5004,2.6368,2.8007,2.9790,3.1532,3.2643,3.3781
47.50,2.4234,2.4977,2.5771,2.7177,2.8867,3.0706,3.2502,3.3648,3.4822
48.00,2.4965,2.5732,2.6550,2.7999,2.9741,3.1636,3.3488,3.4669,3.5879
48.50,2.5715,2.6505,2.7348,2.8841,3.0636,3.2589,3.4498,3.5714,3.6962
49.00,2.6488,2.7302,2.8171,2.9710,3.1560,3.3573,3.5540,3.6794,3.8080
49.50,2.7292,2.8131,2.9026,3.0613,3.2520,3.4595,3.6623,3.7916,3.9242
50.00,2.8128,2.8992,2.9916,3.1552,3.3518,3.5658,3.7749,3.9082,4.0450
50.50,2.8997,2.9889,3.0842,3.2529,3.4557,3.6764,3.8921,4.0297,4.1707
51.00,2.9900,3.0821,3.1803,3.3544,3.5636,3.7913,4.0139,4.1558,4.3013
51.50,3.0836,3.1786,3.2799,3.4595,3.6754,3.9104,4.1400,4.2865,4.4366
52.00,3.1804,3.2784,3.3830,3.5683,3.7911,4.0336,4.2706,4.4218,4.5768
52.50,3.2803,3.3814,3.4893,3.6806,3.9105,4.1608,4.4054,4.5614,4.7213
53.00,3.3830,3.4873,3.5986,3.7960,4.0332,4.2914,4.5438,4.7048,4.8699
53.50,3.4883,3.5959,3.7107,3.9143,4.1591,4.4256,4.6860,4.8521,5.0224
54.00,3.5957,3.7066,3.8251,4.0351,4.2875,4.5623,4.8309,5.0022,5.1779
54.50,3.7048,3.8191,3.9413,4.1577,4.4179,4.7012,4.9781,5.1547,5.3359
55.00,3.8151,3.9329,4.0587,4.2817,4.5498,4.8417,5.1270,5.3090,5.4957
55.50,3.9262,4.0476,4.1771,4.4067,4.6827,4.9833,5.2771,5.4645,5.6567
56.00,4.0379,4.1627,4.2960,4.5322,4.8162,5.1255,5.4278,5.6206,5.8184
56.50,4.1498,4.2781,4.4151,4.6580,4.9500,5.2680,5.5788,5.7771,5.9805
57.00,4.2616,4.3934,4.5342,4.7837,5.0837,5.4104,5.7298,5.9336,6.1425
57.50,4.3733,4.5087,4.6532,4.9093,5.2173,5.5527,5.8806,6.0898,6.3044
58.00,4.4850,4.6238,4.7720,5.0347,5.3507,5.6948,6.0312,6.2457,6.4658
58.50,4.5960,4.7383,4.8902,5.1595,5.4834,5.8361,6.1809,6.4009,6.6265
59.00,4.7063,4.8520,5.0076,5.2834,5.6151,5.9763,6.3295,6.5548,6.7859
59.50,4.8154,4.9645,5.1237,5.4060,5.7454,6.1151,6.4765,6.7070,6.9435
60.00,4.9232,5.0757,5.2385,5.5271,5.8742,6.2522,6.6218,6.8575,7.0994
60.50,5.0297,5.1855,5.3519,5.6468,6.0014,6.3876,6.7652,7.0061,7.2532
61.00,5.1350,5.2941,5.4639,5.7649,6.1270,6.5213,6.9068,7.1528,7.4050
61.50,5.2391,5.4014,5.5746,5.8817,6.2511,6.6533,7.0466,7.2975,7.5549
62.00,5.3420,5.5075,5.6841,5.9972,6.3738,6.7839,7.1848,7.4406,7.7030
62.50,5.4437,5.6122,5.7922,6.1112,6.4948,6.9126,7.3210,7.5816,7.8489
63.00,5.5441,5.7157,5.8990,6.2238,6.6144,7.0398,7.4557,7.7209,7.9931
63.50,5.6436,5.8182,6.0047,6.3353,6.7328,7.1657,7.5889,7.8589,8.1358
64.00,5.7422,5.9199,6.1096,6.4458,6.8501,7.2904,7.7208,7.9954,8.2770
