Length,2nd (2.3rd),5th,10th,25th,50th,75th,90th,95th,98th (97.7th)
79,8.732905,8.981224,9.245227,9.710293,10.2649,10.86321,11.44274,11.80969,12.18395
79.5,8.810738,9.061183,9.327443,9.796476,10.3558,10.95919,11.54361,11.91365,12.29106
80,8.889597,9.142137,9.410618,9.88355,10.4475,11.05585,11.64505,12.0181,12.39858
80.5,8.969915,9.22453,9.495209,9.971992,10.5405,11.15373,11.74761,12.12362,12.50708
81,9.051873,9.308575,9.581465,10.06212,10.6352,11.25332,11.8519,12.23085,12.61731
81.5,9.135985,9.394803,9.669929,10.15449,10.7322,11.35525,11.95856,12.34049,12.72995
82,9.222944,9.483891,9.761267,10.24976,10.8321,11.46008,12.06811,12.45299,12.84545
82.5,9.312846,9.575937,9.855578,10.34802,10.935,11.56791,12.18064,12.56846,12.96389
83,9.406036,9.671326,9.953286,10.44977,11.0415,11.67945,12.29698,12.6878,13.08626
83.5,9.502522,9.770064,10.0544,10.55502,11.1516,11.7947,12.41712,12.811,13.21254
84,9.602142,9.871983,10.15874,10.66357,11.2651,11.91343,12.54083,12.93781,13.34249
84.5,9.704648,9.976826,10.26604,10.77516,11.3817,12.03533,12.66777,13.06789,13.47573
85,9.809266,10.08383,10.37556,10.88904,11.5007,12.15975,12.79732,13.20064,13.61171
85.5,9.915931,10.19289,10.48714,11.00501,11.6218,12.28626,12.92898,13.3355,13.74978
86,10.02395,10.30333,10.60013,11.12243,11.7444,12.41434,13.06224,13.47199,13.88953
86.5,10.13253,10.41437,10.71376,11.24056,11.8678,12.54331,13.1965,13.60955,14.0304
87,10.24152,10.52582,10.8278,11.3591,11.9916,12.67267,13.33114,13.74748,14.17165
87.5,10.35002,10.63682,10.94143,11.47732,12.1152,12.80197,13.46586,13.88559,14.31317
88,10.45787,10.74717,11.05443,11.59491,12.2382,12.9307,13.60004,14.02317,14.45419
88.5,10.5648,10.85661,11.16651,11.7116,12.3603,13.05854,13.73336,14.1599,14.59437
89,10.67062,10.96496,11.27754,11.8273,12.4815,13.18559,13.86599,14.29604,14.73404
89.5,10.77542,11.0723,11.38755,11.94199,12.6017,13.31166,13.99766,14.43122,14.87278
90,10.87879,11.17826,11.49627,12.05551,12.7209,13.43693,14.12875,14.56597,15.01124
90.5,10.98141,11.28346,11.60418,12.16819,12.8392,13.56123,14.25882,14.69965,15.14859
91,11.08292,11.38761,11.71114,12.28006,12.9569,13.68517,14.38877,14.83338,15.28616
91.5,11.1841,11.49143,11.81775,12.39156,13.0742,13.80869,14.51826,14.96664,15.42324
92,11.28423,11.59427,11.92347,12.50235,13.191,13.93195,14.64776,15.10008,15.5607
92.5,11.38389,11.69667,12.02877,12.61276,13.3075,14.055,14.77713,15.23344,15.69813
93,11.48324,11.79879,12.13384,12.723,13.4239,14.17803,14.90658,15.36695,15.83577
93.5,11.58224,11.90063,12.23869,12.83317,13.5404,14.30137,15.03655,15.50112,15.97422
94,11.68105,12.00234,12.3435,12.94344,13.6572,14.42523,15.16726,15.63618,16.11372
94.5,11.78012,12.10437,12.44868,13.05418,13.7746,14.54984,15.29886,15.77223,16.25431
95,11.87963,12.2069,12.55442,13.16559,13.8928,14.67539,15.43158,15.90949,16.39622
95.5,11.97952,12.30989,12.66072,13.27776,14.012,14.80223,15.56585,16.04848,16.54005
96,12.08003,12.41361,12.76787,13.39097,14.1325,14.93065,15.70201,16.18957,16.68618
96.5,12.18169,12.51852,12.87624,13.50549,14.2544,15.06057,15.83976,16.33231,16.83404
97,12.28423,12.62446,12.98583,13.62153,14.3782,15.19284,15.9803,16.47814,16.98528
97.5,12.38826,12.73194,13.097,13.73924,14.5038,15.32703,16.1229,16.6261,17.13875
98,12.49363,12.8409,13.20979,13.85884,14.6316,15.46379,16.26843,16.77723,17.29563
98.5,12.60041,12.95136,13.32417,13.98021,14.7614,15.60279,16.41646,16.93104,17.45536
99,12.70876,13.06348,13.44033,14.10354,14.8934,15.74427,16.56723,17.08775,17.61818
99.5,12.81834,13.17696,13.55799,14.22865,15.0275,15.88821,16.72085,17.24756,17.78436
100,12.92938,13.292,13.67733,14.35561,15.1637,16.03453,16.87711,17.41019,17.95354
100.5,13.04171,13.40842,13.79814,14.48425,15.3018,16.18301,17.03581,17.57543,18.12551
101,13.1554,13.5263,13.92051,14.61464,15.4419,16.33376,17.19705,17.74339,18.3004
101.5,13.27026,13.64546,14.04427,14.74659,15.5838,16.48658,17.36062,17.91387,18.47798
102,13.38639,13.76597,14.16948,14.88021,15.7276,16.64157,17.52665,18.08698,18.65839
102.5,13.50393,13.88796,14.29624,15.01548,15.8732,16.79852,17.69479,18.26231,18.84113
103,13.62264,14.01121,14.42437,15.15231,16.0206,16.95755,17.86529,18.44018,19.0266
103.5,13.74241,14.13562,14.55376,15.2906,16.1697,17.11855,18.03804,18.62048,19.2147
104,13.86342,14.26132,14.6845,15.43035,16.3204,17.2813,18.21271,18.8028,19.40491
104.5,13.98548,14.38817,14.8165,15.57155,16.4728,17.44604,18.38963,18.98757,19.59777
105,14.10877,14.51631,14.94985,15.71422,16.6268,17.61253,18.56848,19.17436,19.79277
105.5,14.23345,14.6459,15.08472,15.85853,16.7826,17.78099,18.74947,19.36341,19.99014
106,14.35916,14.77663,15.22084,16.00429,16.9401,17.95145,18.93274,19.55494,20.19019
106.5,14.48635,14.90889,15.35856,16.15179,17.0995,18.12398,19.11828,19.74885,20.39275
107,14.61492,15.0426,15.4978,16.30093,17.2607,18.29849,19.30597,19.94503,20.5977
107.5,14.74431,15.17728,15.63817,16.45149,17.4237,18.47523,19.49634,20.14419,20.80594
108,14.87535,15.31363,15.78024,16.60381,17.5885,18.65383,19.68862,20.34528,21.01615
108.5,15.00765,15.45136,15.92381,16.75783,17.7553,18.83476,19.88356,20.54925,21.22947
109,15.14156,15.59077,16.06914,16.91378,17.9242,19.01798,20.081,20.75587,21.44557
109.5,15.27697,15.7318,16.21622,17.07172,18.0954,19.20386,20.28146,20.96574,21.66518
110,15.41415,15.87468,16.36525,17.23176,18.2689,19.39227,20.48466,21.1785,21.88782
